"Name","Link"
"Monika","https://www.animecharactersdatabase.com/characters.php?id=130955"
"Ena Haizawa","https://www.animecharactersdatabase.com/characters.php?id=55847"
"Shizuka Yoshimoto","https://www.animecharactersdatabase.com/characters.php?id=121966"
"Yurari Yoshino","https://www.animecharactersdatabase.com/characters.php?id=131573"
"Yuma Nishiki","https://www.animecharactersdatabase.com/characters.php?id=1310"
"Miwa Kuru-Tei-Nu H...","https://www.animecharactersdatabase.com/characters.php?id=1556"
"Aki Tsukino","https://www.animecharactersdatabase.com/characters.php?id=80213"
"Liz Corinth","https://www.animecharactersdatabase.com/characters.php?id=1786"
"Kanae Shinomiya","https://www.animecharactersdatabase.com/characters.php?id=2020"
"Zabimaru (Sarume)","https://www.animecharactersdatabase.com/characters.php?id=50465"
"Shiori Hiura","https://www.animecharactersdatabase.com/characters.php?id=58460"
"Mikane Fuyuzaki","https://www.animecharactersdatabase.com/characters.php?id=2495"
"Chisato Ibara","https://www.animecharactersdatabase.com/characters.php?id=72711"
"Noah Kirimi","https://www.animecharactersdatabase.com/characters.php?id=2939"
"Tereamiri","https://www.animecharactersdatabase.com/characters.php?id=3370"
"Yuenohimenomikoto ...","https://www.animecharactersdatabase.com/characters.php?id=3598"
"Rio Hanai","https://www.animecharactersdatabase.com/characters.php?id=4316"
"Medaglia","https://www.animecharactersdatabase.com/characters.php?id=64089"
"Kyrie Ushiromiya","https://www.animecharactersdatabase.com/characters.php?id=4537"
"Mikan","https://www.animecharactersdatabase.com/characters.php?id=4799"
"Rurika Washino","https://www.animecharactersdatabase.com/characters.php?id=5053"
"Squall Meusel","https://www.animecharactersdatabase.com/characters.php?id=74821"
"MuMu Fancy House M...","https://www.animecharactersdatabase.com/characters.php?id=67800"
"Nana Senpai","https://www.animecharactersdatabase.com/characters.php?id=64226"
"Yoshitaka Shizuku ...","https://www.animecharactersdatabase.com/characters.php?id=64706"
"Mami Tsuzaki","https://www.animecharactersdatabase.com/characters.php?id=5753"
"Ren Sonehara","https://www.animecharactersdatabase.com/characters.php?id=65332"
"Safina Canenmeiya","https://www.animecharactersdatabase.com/characters.php?id=6143"
"Oka Sakuragaoka","https://www.animecharactersdatabase.com/characters.php?id=66370"
"Mizuno Sasahara","https://www.animecharactersdatabase.com/characters.php?id=6366"
"Rias Gremory","https://www.animecharactersdatabase.com/characters.php?id=36120"
"Marin Kitagawa","https://www.animecharactersdatabase.com/characters.php?id=115747"
"Nobara Kugisaki","https://www.animecharactersdatabase.com/characters.php?id=104843"
"Reina Kurashiki","https://www.animecharactersdatabase.com/characters.php?id=101389"
"Hayase Nagatoro","https://www.animecharactersdatabase.com/characters.php?id=100650"
"Katsuki Bakugo","https://www.animecharactersdatabase.com/characters.php?id=75965"
"Satoru Gojou","https://www.animecharactersdatabase.com/characters.php?id=104844"
"Megumi Fushiguro","https://www.animecharactersdatabase.com/characters.php?id=104839"
"Kusuo Saiki","https://www.animecharactersdatabase.com/characters.php?id=78371"
"Noriaki Kakyoin","https://www.animecharactersdatabase.com/characters.php?id=73601"
"Yoshimi Mikuria","https://www.animecharactersdatabase.com/characters.php?id=6825"
"Haruna Tsuge","https://www.animecharactersdatabase.com/characters.php?id=7060"
"Kyouko Mizuki","https://www.animecharactersdatabase.com/characters.php?id=7312"
"Kaori Kusakabe","https://www.animecharactersdatabase.com/characters.php?id=7551"
"Nashiro Yasuhisa","https://www.animecharactersdatabase.com/characters.php?id=73067"
"Soara Takahata","https://www.animecharactersdatabase.com/characters.php?id=7791"
"Kanako Oora","https://www.animecharactersdatabase.com/characters.php?id=50651"
"Lina","https://www.animecharactersdatabase.com/characters.php?id=120740"
"Aya","https://www.animecharactersdatabase.com/characters.php?id=8275"
"Yuki Uchiki","https://www.animecharactersdatabase.com/characters.php?id=71744"
"Yukiko Kanzaki","https://www.animecharactersdatabase.com/characters.php?id=70243"
"Sayoko Shiranagatani","https://www.animecharactersdatabase.com/characters.php?id=8761"
"Mari Ichihara","https://www.animecharactersdatabase.com/characters.php?id=8977"
"Akina Aoi","https://www.animecharactersdatabase.com/characters.php?id=70496"
"Sarina Matsumoto","https://www.animecharactersdatabase.com/characters.php?id=119787"
"Asami Hama","https://www.animecharactersdatabase.com/characters.php?id=13848"
"Iona Hikawa","https://www.animecharactersdatabase.com/characters.php?id=71110"
"Miki Kamikawa","https://www.animecharactersdatabase.com/characters.php?id=38336"
"Shiho Kubota","https://www.animecharactersdatabase.com/characters.php?id=9765"
"Towako Akino","https://www.animecharactersdatabase.com/characters.php?id=71707"
"Mion Kuromine","https://www.animecharactersdatabase.com/characters.php?id=72376"
"Nathalie","https://www.animecharactersdatabase.com/characters.php?id=72956"
"Adele Roland","https://www.animecharactersdatabase.com/characters.php?id=10577"
"Sacchin-sensei","https://www.animecharactersdatabase.com/characters.php?id=119358"
"Tomoka Tenkubashi","https://www.animecharactersdatabase.com/characters.php?id=75352"
"Minamo Aoi","https://www.animecharactersdatabase.com/characters.php?id=11109"
"Asta","https://www.animecharactersdatabase.com/characters.php?id=77974"
"Darcy","https://www.animecharactersdatabase.com/characters.php?id=86330"
"Yui Nishizono","https://www.animecharactersdatabase.com/characters.php?id=12012"
"Stella (Mythix)","https://www.animecharactersdatabase.com/characters.php?id=88945"
"Reo Wakasa","https://www.animecharactersdatabase.com/characters.php?id=111474"
"Akane Miura","https://www.animecharactersdatabase.com/characters.php?id=60216"
"Hazumu Osaragi","https://www.animecharactersdatabase.com/characters.php?id=13344"
"Yuuma Kashiwagi","https://www.animecharactersdatabase.com/characters.php?id=13541"
"Ryou Un","https://www.animecharactersdatabase.com/characters.php?id=78571"
"Bobcat","https://www.animecharactersdatabase.com/characters.php?id=100630"
"Lavie","https://www.animecharactersdatabase.com/characters.php?id=64347"
"Kurara Amamiya","https://www.animecharactersdatabase.com/characters.php?id=14216"
"Koyori Nakata","https://www.animecharactersdatabase.com/characters.php?id=14428"
"Razia","https://www.animecharactersdatabase.com/characters.php?id=79946"
"Gauche","https://www.animecharactersdatabase.com/characters.php?id=53577"
"Orutena Mouri","https://www.animecharactersdatabase.com/characters.php?id=44058"
"Enka","https://www.animecharactersdatabase.com/characters.php?id=85483"
"YorHa Heavy Armament","https://www.animecharactersdatabase.com/characters.php?id=108601"
"Irina Goinov","https://www.animecharactersdatabase.com/characters.php?id=81500"
"Sakura Mizukami","https://www.animecharactersdatabase.com/characters.php?id=15381"
"Saki Kanda","https://www.animecharactersdatabase.com/characters.php?id=115502"
"Mayu's Mother","https://www.animecharactersdatabase.com/characters.php?id=44959"
"Miyuki Nishida","https://www.animecharactersdatabase.com/characters.php?id=83130"
"Ai's Mom","https://www.animecharactersdatabase.com/characters.php?id=119693"
"Rias Gremory","https://www.animecharactersdatabase.com/characters.php?id=36120"
"Marin Kitagawa","https://www.animecharactersdatabase.com/characters.php?id=115747"
"Nobara Kugisaki","https://www.animecharactersdatabase.com/characters.php?id=104843"
"Reina Kurashiki","https://www.animecharactersdatabase.com/characters.php?id=101389"
"Hayase Nagatoro","https://www.animecharactersdatabase.com/characters.php?id=100650"
"Katsuki Bakugo","https://www.animecharactersdatabase.com/characters.php?id=75965"
"Satoru Gojou","https://www.animecharactersdatabase.com/characters.php?id=104844"
"Megumi Fushiguro","https://www.animecharactersdatabase.com/characters.php?id=104839"
"Kusuo Saiki","https://www.animecharactersdatabase.com/characters.php?id=78371"
"Noriaki Kakyoin","https://www.animecharactersdatabase.com/characters.php?id=73601"
"Rei","https://www.animecharactersdatabase.com/characters.php?id=21202"
"Hinata Oogami","https://www.animecharactersdatabase.com/characters.php?id=18589"
"Jun Saginomiya","https://www.animecharactersdatabase.com/characters.php?id=19098"
"Mamiya Kiriko","https://www.animecharactersdatabase.com/characters.php?id=84503"
"Luiana Drawers","https://www.animecharactersdatabase.com/characters.php?id=19798"
"Jun Tomonaga","https://www.animecharactersdatabase.com/characters.php?id=20073"
"Yumiko Samejima","https://www.animecharactersdatabase.com/characters.php?id=84996"
"Miharu Shinonome","https://www.animecharactersdatabase.com/characters.php?id=20489"
"Aka Oriba","https://www.animecharactersdatabase.com/characters.php?id=20953"
"Misora","https://www.animecharactersdatabase.com/characters.php?id=85535"
"Lady Armaroid","https://www.animecharactersdatabase.com/characters.php?id=21468"
"Talia al Ghul","https://www.animecharactersdatabase.com/characters.php?id=86091"
"Mikaze Suwa","https://www.animecharactersdatabase.com/characters.php?id=21928"
"Keiko Tanaka","https://www.animecharactersdatabase.com/characters.php?id=31011"
"Dr. Roxanne 'Rocky...","https://www.animecharactersdatabase.com/characters.php?id=87512"
"Aya Sagane","https://www.animecharactersdatabase.com/characters.php?id=22348"
"Carlisle McDougall","https://www.animecharactersdatabase.com/characters.php?id=22667"
"Tomoe Nagisa","https://www.animecharactersdatabase.com/characters.php?id=22847"
"Ingrid Bernstein","https://www.animecharactersdatabase.com/characters.php?id=23182"
"Rhino","https://www.animecharactersdatabase.com/characters.php?id=132199"
"SPHIA","https://www.animecharactersdatabase.com/characters.php?id=88451"
"Yuni Nanasawa","https://www.animecharactersdatabase.com/characters.php?id=26974"
"Yoshiko Kurahashi","https://www.animecharactersdatabase.com/characters.php?id=67170"
"Kaga","https://www.animecharactersdatabase.com/characters.php?id=89903"
"Admiral Hipper µ","https://www.animecharactersdatabase.com/characters.php?id=105892"
"Flora Kueishi","https://www.animecharactersdatabase.com/characters.php?id=27887"
"Yoriko Fujiwara","https://www.animecharactersdatabase.com/characters.php?id=90157"
"Blanche","https://www.animecharactersdatabase.com/characters.php?id=15675"
"Keiko Amamiya","https://www.animecharactersdatabase.com/characters.php?id=91991"
"Megumi","https://www.animecharactersdatabase.com/characters.php?id=92423"
"Shizune Hayami","https://www.animecharactersdatabase.com/characters.php?id=16365"
"Mao Hagiya","https://www.animecharactersdatabase.com/characters.php?id=17108"
"Veronica","https://www.animecharactersdatabase.com/characters.php?id=93333"
"Ixia Jun","https://www.animecharactersdatabase.com/characters.php?id=18267"
"Chiaru","https://www.animecharactersdatabase.com/characters.php?id=132091"
"Fiore","https://www.animecharactersdatabase.com/characters.php?id=94039"
"Rita","https://www.animecharactersdatabase.com/characters.php?id=94324"
"Doris Rurido","https://www.animecharactersdatabase.com/characters.php?id=17243"
"Puxian","https://www.animecharactersdatabase.com/characters.php?id=132272"
"Rei Shijo","https://www.animecharactersdatabase.com/characters.php?id=94687"
"Primera","https://www.animecharactersdatabase.com/characters.php?id=26327"
"Nemea","https://www.animecharactersdatabase.com/characters.php?id=94838"
"NiBA","https://www.animecharactersdatabase.com/characters.php?id=120402"
"Maki Takahana","https://www.animecharactersdatabase.com/characters.php?id=95736"
"Monami Suzuki","https://www.animecharactersdatabase.com/characters.php?id=21578"
"Adda the White","https://www.animecharactersdatabase.com/characters.php?id=96436"
"Maple","https://www.animecharactersdatabase.com/characters.php?id=111326"
"Tina","https://www.animecharactersdatabase.com/characters.php?id=97265"
"Marie Tennouji","https://www.animecharactersdatabase.com/characters.php?id=36570"
"Rubis","https://www.animecharactersdatabase.com/characters.php?id=30902"
"Rias Gremory","https://www.animecharactersdatabase.com/characters.php?id=36120"
"Marin Kitagawa","https://www.animecharactersdatabase.com/characters.php?id=115747"
"Nobara Kugisaki","https://www.animecharactersdatabase.com/characters.php?id=104843"
"Reina Kurashiki","https://www.animecharactersdatabase.com/characters.php?id=101389"
"Hayase Nagatoro","https://www.animecharactersdatabase.com/characters.php?id=100650"
"Katsuki Bakugo","https://www.animecharactersdatabase.com/characters.php?id=75965"
"Satoru Gojou","https://www.animecharactersdatabase.com/characters.php?id=104844"
"Megumi Fushiguro","https://www.animecharactersdatabase.com/characters.php?id=104839"
"Kusuo Saiki","https://www.animecharactersdatabase.com/characters.php?id=78371"
"Noriaki Kakyoin","https://www.animecharactersdatabase.com/characters.php?id=73601"
"Saya Kamiizumi","https://www.animecharactersdatabase.com/characters.php?id=98474"
"Aoi Ichijou","https://www.animecharactersdatabase.com/characters.php?id=98705"
"Akari Kounomine","https://www.animecharactersdatabase.com/characters.php?id=98883"
"Hanae Yamano","https://www.animecharactersdatabase.com/characters.php?id=42282"
"Setsuna Honjou","https://www.animecharactersdatabase.com/characters.php?id=57826"
"Mio Aoyama","https://www.animecharactersdatabase.com/characters.php?id=23484"
"Fubuki Kurokami","https://www.animecharactersdatabase.com/characters.php?id=109770"
"White Tiger","https://www.animecharactersdatabase.com/characters.php?id=118098"
"Minori Nonomiya","https://www.animecharactersdatabase.com/characters.php?id=101494"
"Airis","https://www.animecharactersdatabase.com/characters.php?id=104706"
"Scar Crow","https://www.animecharactersdatabase.com/characters.php?id=101808"
"Kanae Yukino","https://www.animecharactersdatabase.com/characters.php?id=100066"
"Asuka Totsukawa","https://www.animecharactersdatabase.com/characters.php?id=102861"
"Asumi Hirota","https://www.animecharactersdatabase.com/characters.php?id=24766"
"Haumea","https://www.animecharactersdatabase.com/characters.php?id=104285"
"Miho Mukai","https://www.animecharactersdatabase.com/characters.php?id=61883"
"Ae Winter","https://www.animecharactersdatabase.com/characters.php?id=129649"
"Claire Redfield","https://www.animecharactersdatabase.com/characters.php?id=103949"
"Hagoromo Gitsune","https://www.animecharactersdatabase.com/characters.php?id=26346"
"Farina","https://www.animecharactersdatabase.com/characters.php?id=26655"
"Paula","https://www.animecharactersdatabase.com/characters.php?id=105095"
"Kaoru Tanimura","https://www.animecharactersdatabase.com/characters.php?id=26815"
"Ariel & Berenice","https://www.animecharactersdatabase.com/characters.php?id=68007"
