Character Name,Height,Weight,Bust,Waist,Hip,Gender,Eye Color,Hair Color,Hair Length,Apparent Age,Animal Ears,
Rias Gremory,172cm,58kg,99cm,58cm,90cm,Female ,Blue ,Red ,Past Waist ,Teen ,No ,
Marin Kitagawa,164cm,,,,,Female ,Pink ,Blonde ,To Waist ,Teen ,No ,
Nobara Kugisaki,160cm,,,,,Female ,Brown ,Brown ,To Neck ,Teen ,No ,
Reina Kurashiki,171cm,54kg,95cm,57cm,93cm,Female ,Blue ,Blonde ,To Shoulders ,Teen ,No ,
Hayase Nagatoro,150cm,,,,,Female ,Brown ,Black ,To Chest ,Teen ,No ,
Galko,,,,,,Female ,Blue ,Blonde ,To Waist ,Teen ,No ,
Ao Manaka,158cm,,,,,Female ,Blue / Green ,Blue ,To Waist ,Teen ,No ,
Monika,,,,,,Female ,Green ,Brown ,To Waist ,Teen ,No ,
Anna Nishikinomiya,,,,,,Female ,Blue ,Gray ,To Shoulders ,Teen ,No ,
Yukari Akiyama,157cm,,,,,Female ,Brown ,Brown ,To Neck ,Teen ,No ,
Kaname Chidori,,,,,,Female ,Brown ,Blue ,To Waist ,Teen ,No ,
Mafuyu Orifushi,149cm,40kg,78cm,45cm,80cm,Female ,Blue ,Blonde ,Past Waist ,Teen ,No ,
Orihime Inoue ,157cm,,,,,Female ,Brown ,Orange ,To Waist ,Teen ,No ,
Minako Sanada,162cm,61kg,95cm,61cm,93cm,Female ,Green ,Brown ,To Waist ,Teen ,No ,
Izumi Nogami,159cm,56kg,86cm,58cm,88cm,Female ,Red ,Brown ,To Chest ,Teen ,No ,
Maki Zenin,,,,,,Female ,Yellow ,Green ,To Shoulders ,Teen ,No ,
Sumi Sakurasawa,,,,,,Female ,Red ,Red ,To Shoulders ,Teen ,No ,
Clara Valac,,,,,,Female ,Green ,Green ,To Waist ,Teen ,Elf ,
Special Week,158cm,,81cm,56cm,81cm,Female ,Purple ,Brown ,To Neck ,Teen ,Animal ,
Chihiro Fujisaki,148cm,41kg,70cm,,,Female ,Brown ,Brown ,To Neck ,Teen ,No ,
Mashiro Shiina,,,,,,Female ,Orange ,Blonde ,To Waist ,Teen ,No ,
Marie,150cm,,,,,Female ,Green ,Blonde ,To Chest ,Teen ,No ,
Medaka Kurokami,166.2cm,56kg,98cm,59cm,87cm,Female ,Red ,Blue ,To Waist ,Teen ,No ,
Asuka Tenjouin,,,,,,Female ,Gray ,Blonde ,To Chest ,Teen ,No ,
Rise Kujikawa,155cm,41kg,,,,Female ,Brown ,Brown ,To Shoulders ,Teen ,No ,
Sumireko Usami,,,,,,Female ,Brown ,Brown ,To Shoulders ,Teen ,No ,
Taiga Aisaka,143.6cm,,,,,Female ,Brown ,Brown ,To Waist ,Teen ,No ,
Ayumu Kasuga,,,,,,Female ,Brown ,Brown ,To Shoulders ,Teen ,No ,
Milly Ashford,,,,,,Female ,Blue ,Blonde ,To Shoulders ,Teen ,No ,
Hinagiku Katsura,161cm,45kg,,,,Female ,Yellow ,Pink ,To Waist ,Teen ,No ,
Mai Ebihara,175cm,,123cm,57cm,96cm,Female ,Red ,Blue ,To Chest ,Teen ,No ,
Yuki Nagato,,,,,,Female ,Yellow ,Purple ,To Neck ,Teen ,No ,
Konata Izumi,142cm,,,,,Female ,Green ,Blue ,Past Waist ,Teen ,No ,
Enome,,,,,,Female ,Blue ,Blonde ,To Chest ,Adult ,No ,
Yuzuha Shiba,165cm,49kg,,,,Female ,Brown ,Orange ,To Chest ,Teen ,No ,
Kirara Hoshino,,,88cm,60cm,82cm,Female ,Yellow ,Blonde ,To Neck ,Teen ,No ,
Sasha Necron,,,,,,Female ,Purple ,Blonde ,To Chest ,Teen ,No ,
Miko Iino,,,,,,Female ,Brown ,Brown ,To Chest ,Teen ,No ,
Lynn May,,,,,,Female ,Orange ,Brown ,To Neck ,Teen ,No ,
Saki Nikaido,153cm,45kg,77cm,54cm,82cm,Female ,Orange ,Blonde ,Past Waist ,Teen ,No ,
Tae Yamada,170cm,50kg,91cm,59cm,89cm,Female ,Red ,Black ,Past Waist ,Adult ,No ,
Olivia,,,,,,Female ,Blue ,Blonde ,Past Waist ,Teen ,No ,
Daiwa Scarlet,163cm,,90cm,56cm,82cm,Female ,Pink ,Orange ,Past Waist ,Teen ,Animal ,
Ayane Uesaka,155cm,,113cm,55cm,83cm,Female ,Green ,Orange ,To Waist ,Teen ,No ,
Akira Tachibana,,,,,,Female ,Purple ,Black ,To Chest ,Teen ,No ,
Yuri,,,,,,Female ,Purple ,Purple ,Past Waist ,Teen ,No ,
Shouko Nishimiya,,,,,,Female ,Brown ,Pink ,To Chest ,Teen ,No ,
Sirius,,,,,,Female ,Blue ,Blue ,To Neck ,Adult ,Animal ,
Koito Minase,,,,,,Female ,Red ,Red ,To Neck ,Teen ,No ,
Mari Kurihara,,,,,,Female ,Blue ,Black ,Past Waist ,Teen ,No ,
Reina Kousaka,,,,,,Female ,Purple ,Black ,To Chest ,Teen ,No ,
Hime Arikawa,,,,,,Female ,Blue / Green ,Pink ,To Waist ,Teen ,No ,
Mine,,,,,,Female ,Pink ,Pink ,To Waist ,Teen ,No ,
Akko Kagari,,,,,,Female ,Brown ,Brown ,To Chest ,Teen ,No ,
Seishirou Tsugumi,,,,,,Female ,Red ,Blue ,To Ears ,Teen ,No ,
Ceara August,,,,,,Female ,Yellow ,Brown ,To Waist ,Teen ,No ,
Satsuki Kiryuin,,,,,,Female ,Blue ,Black ,Past Waist ,Teen ,No ,
Michelle de La Farge,175cm,,128cm,58cm,88cm,Female ,Blue ,Blonde ,Past Waist ,Teen ,No ,
Rosehip,,,,,,Female ,Red ,Red ,To Shoulders ,Teen ,No ,
Kyouko Toshinou,156cm,,,,,Female ,Blue ,Blonde ,To Waist ,Teen ,No ,
Mio Isurugi,,,,,,Female ,Blue / Green ,Blonde ,Past Waist ,Teen ,No ,
Misaki Ayuzawa,165cm,49kg,,,,Female ,Yellow ,Black ,To Shoulders ,Teen ,No ,
Kanade Tachibana ,,,,,,Female ,Yellow ,Gray ,To Waist ,Teen ,No ,
Reiko Date Wingfield,,,,,,Female ,Blue ,Blonde ,To Waist ,Teen ,No ,
Lisa Fukuyama,158cm,44kg,82cm,57cm,83cm,Female ,Blue ,Blonde ,To Waist ,Teen ,No ,
Shirley Fenette,,,,,,Female ,Green ,Orange ,To Waist ,Teen ,No ,
Wakana Misaki,160cm,,110cm,60cm,88cm,Female ,Green ,Blue ,To Waist ,Teen ,No ,
Sayaka Minase,162cm,,86cm,58cm,82cm,Female ,Blue ,Brown ,To Chest ,Teen ,No ,
Saki Akehime,,,,,,Female ,Green ,Blonde ,Past Waist ,Teen ,No ,
Haruna Nishimura,157cm,,91cm,59cm,89cm,Female ,Blue ,Maroon ,To Shoulders ,Teen ,No ,
Tomoyo Sakagami,161cm,47kg,86cm,57cm,82cm,Female ,Blue ,Gray ,Past Waist ,Teen ,No ,
Misuzu Kamio,159cm,46kg,83cm,55cm,82cm,Female ,Blue ,Blonde ,To Waist ,Teen ,No ,
Amelia Rose,,,,,,Female ,Red ,Red ,Past Waist ,Teen ,No ,
Elisa Griffith,,,,,,Female ,Blue / Green ,Blue ,To Neck ,Teen ,Elf ,
Rebecca Bradley,,,,,,Female ,Purple ,Purple ,To Waist ,Teen ,No ,
Claris Cleveland,,,,,,Female ,Blue ,Blonde ,Past Waist ,Teen ,No ,
Ariane Algren,,,,,,Female ,Blue ,White ,To Waist ,Teen ,No ,
Nagisa Kubo,160cm,,,,,Female ,Purple ,Purple ,To Chest ,Teen ,No ,
Usagi Tsukishiro,,,,,,Female ,Pink ,Pink ,To Shoulders ,Teen ,No ,
Karen Inukai,,,,,,Female ,Red ,Black ,Past Waist ,Teen ,No ,
Akari Watanabe,,,,,,Female ,Blue / Green ,Pink ,To Waist ,Teen ,No ,
Christina Sakurako...,,,84cm,57cm,85cm,Female ,Green ,Blonde ,To Neck ,Teen ,No ,
Tomo Aizawa,,,,,,Female ,Red ,Red ,To Neck ,Teen ,No ,
Hailey,,,,,,Female ,Gray ,Brown ,To Chest ,Teen ,No ,
Petit Albert,,,,,,Female ,Red ,Black ,To Neck ,Teen ,No ,
Hime Shiraki,,,,,,Female ,Yellow ,Blonde ,Past Waist ,Teen ,No ,
Mitsuki Yano,,,,,,Female ,Orange ,Maroon ,To Waist ,Teen ,No ,
Uta,,,,,,Female ,Purple ,Blue ,To Ears ,Teen ,No ,
Marie Fou Lafan,,,,,,Female ,Blue ,Blonde ,Past Waist ,Teen ,No ,
Reimi Itsushiro,,,,,,Female ,Purple ,Blonde ,Past Waist ,Teen ,No ,
Kana Fujii,,,,,,Female ,Red ,Red ,To Ears ,Teen ,No ,
Ayane Nakata,,,,,,Female ,Blue ,Brown ,To Waist ,Teen ,No ,
Sylphy Marheaven,,,,,,Female ,Yellow ,Red ,Past Waist ,Teen ,No ,
Juri Hattori,,,,,,Female ,Blue / Green ,Orange ,To Chest ,Teen ,No ,
Yui Hachimitsu,148cm,,,,,Female ,Yellow ,Blonde ,To Neck ,Teen ,No ,
Shikimori,162cm,,,,,Female ,Blue ,Pink ,To Waist ,Teen ,No ,
Ryuji Ayukawa,,,,,,Female ,Purple ,Blonde ,Past Waist ,Teen ,No ,
Shino Kiryuu,,,,,,Female ,Purple ,White ,To Neck ,Teen ,No ,
Saki Saki,,,,,,Female ,Red ,Red ,To Chest ,Teen ,No ,
Rika Hoshizaki,,,,,,Female ,Green ,Blonde ,To Chest ,Teen ,No ,
Akari Oosaka,158cm,49kg,,,,Female ,Yellow ,Blonde ,To Neck ,Teen ,No ,
Natsuno Minami,,,,,,Female ,Brown ,Brown ,To Ears ,Teen ,No ,
Taiyaki,156cm,,,,,Female ,Brown ,Blonde ,To Waist ,Teen ,No ,
Michiru Inukai,,,,,,Female ,Yellow ,Blonde ,To Neck ,Teen ,No ,
Nana Hiiragi,,,,,,Female ,Blue / Green ,Pink ,To Shoulders ,Teen ,No ,
Kaname Arisugawa,,,,,,Female ,Blue ,Purple ,To Neck ,Teen ,No ,
Mizuki Tomonoin,,,,,,Female ,Blue ,Purple ,To Waist ,Teen ,No ,
Karen Towamizu,,,,,,Female ,Purple ,Brown ,Hair Up / Indeterminate ,Teen ,No ,
Yume Hinata,,,,,,Female ,Pink ,Blonde ,To Shoulders ,Teen ,No ,
Noel Niihashi,,,,,,Female ,Blue ,Black ,To Waist ,Teen ,No ,
Miyo Sasaki,,,,,,Female ,Brown ,Brown ,To Shoulders ,Teen ,No ,
Misha Necron,,,,,,Female ,Blue / Green ,White ,To Chest ,Teen ,No ,
Kobachi Osaragi,,,,,,Female ,Not Visible ,Black ,To Shoulders ,Teen ,No ,
Meimei,,,,,,Female ,Green ,Blonde ,To Waist ,Teen ,Animal ,
An Anetani,,,,,,Female ,Blue ,Red ,To Neck ,Teen ,No ,
Ranka Okami,,,,,,Female ,Yellow ,Pink ,Past Waist ,Teen ,Animal ,
Nene Yashiro,,,,,,Female ,Red ,Brown ,To Waist ,Teen ,No ,
Mashima Himeko,,,,,,Female ,Red ,Blonde ,Past Waist ,Teen ,Animal ,
Misa Konohata,,,,,,Female ,Yellow ,Orange ,To Chest ,Teen ,No ,
Mikage Sakurai,160cm,,,,,Female ,Red ,Red ,To Shoulders ,Teen ,No ,
Miu Takigawa,,,,,,Female ,Brown ,Black ,To Neck ,Teen ,No ,
Ayaka Tachikawa,,,,,,Female ,Purple ,Brown ,To Chest ,Teen ,No ,
Erika Tsutsuji,,,,,,Female ,Blue ,Blonde ,To Chest ,Teen ,No ,
Haru,,,,,,Female ,Brown ,White ,No Hair ,Teen ,Animal ,
Maika Kunugi,158cm,,83cm,58cm,85cm,Female ,Green ,Blonde ,To Chest ,Teen ,No ,
Ingrid,,,,,,Female ,Green ,Blonde ,To Waist ,Teen ,No ,
Hapi,169cm,,,,,Female ,Red ,Red ,To Chest ,Adult ,No ,
Constance,164cm,,,,,Female ,Blue ,Blonde ,To Neck ,Adult ,No ,
Mercedes,,,,,,Female ,Blue ,Blonde ,To Waist ,Adult ,No ,
Alsena Norman,,,,,,Female ,Red ,Purple ,To Chest ,Teen ,No ,
Kohaku Kujyo,157cm,44kg,,,,Female ,Purple ,Purple ,Past Waist ,Teen ,No ,
Hisui Kujyo,157cm,42kg,,,,Female ,Purple ,Black ,To Neck ,Teen ,No ,
Shiori Saginomiya,155cm,41kg,,,,Female ,Blue ,Black ,To Waist ,Teen ,No ,
Akane Kikuchi,160cm,50kg,,,,Female ,Brown ,Brown ,To Shoulders ,Teen ,No ,
Shion Kujou,157cm,,,,,Female ,Purple ,Blonde ,To Waist ,Teen ,No ,
Kino Yakobe,,,,,,Female ,Red ,Gray ,To Neck ,Teen ,No ,
Koto Ootsuki,,,,,,Female ,Blue ,Pink ,To Chest ,Teen ,No ,
Nanako Yukishiro,,,,,,Female ,Brown ,Black ,To Chest ,Teen ,No ,
Ao Horie,,,,,,Female ,Blue ,Purple ,To Waist ,Teen ,No ,
Momoko Futo ,,,,,,Female ,Brown ,Brown ,To Chest ,Teen ,No ,
Bocchi Hitori,,,,,,Female ,Red ,Brown ,Past Waist ,Teen ,No ,
Koharu Kazahana,158cm,49kg,92cm,58cm,88cm,Female ,Blue ,Brown ,To Neck ,Teen ,No ,
Nagisa Kashiwagi,,,,,,Female ,Purple ,Black ,To Neck ,Teen ,No ,
Ai Hayasaka,,,,,,Female ,Blue ,Blonde ,To Shoulders ,Teen ,No ,
Sakura Minamoto,,,,,,Female ,Blue ,Red ,To Chest ,Teen ,No ,
Shouko Makinohara,,,,,,Female ,Blue ,Black ,To Chest ,Teen ,No ,
Kasumi Nomura,,,,,,Female ,Brown ,Black ,To Neck ,Teen ,No ,
Koharu Hidaka,,,,,,Female ,Brown ,Blonde ,To Neck ,Teen ,No ,
